#0_Li2013-1,1_Li2013-2,2_Hah2013-1,3_Hah2013-2,4_Duttke2015-1,5_Duttke2015-2,6_Yang2014-1,7_Yang2014-2,8_Margazzi2012-1,9_Puc2015-1,10_Puc2015-2,11_Saponaro2014-1,12_Saponaro2014-2,13_Fong2014-1,14_Fong2014-2,15_Jin2013-1,16_Jin2013-2,17_Jin2014-1,18_Jin2014-2,19_Danko2015-1,20_Danko2015-2,21_Andersson2014-1,22_Andersson2014-2,23_Core2014-1,24_Core2014-2,25_Wang2013-1,26_Wang2013-2,27_Luo2014-1,28_Luo2014-2,29_Sigova2013-1,30_Sigova2013-2,31_Allen2014-1,32_Allen2014-2,33_Meng2014a-1,34_Gardini2014-1,35_Gardini2014-2,36_Le2013-1
1059.0,1082.0,545.0,578.0,291.0,283.0,962.0,1053.0,561.0,1259.0,2848.0,519.0,462.0,167.0,189.0,663.0,704.0,991.0,981.0,518.0,505.0,475.0,532.0,579.0,501.0,456.0,424.0,543.0,478.0,571.0,538.0,612.0,642.0,348.0,652.0,794.0,328.0
1084.0,1139.0,1392.0,1478.0,752.0,731.0,572.0,673.0,927.0,576.0,519.0,20084.0,6330.0,171.0,202.0,1163.0,1155.0,537.0,534.0,993.0,1209.0,1141.0,1079.0,1266.0,992.0,995.0,909.0,1179.0,1289.0,1404.0,1371.0,1440.0,1485.0,848.0,964.0,1205.0,1084.0
1008.0,1084.0,1424.0,1478.0,732.0,678.0,497.0,621.0,882.0,522.0,462.0,6330.0,19335.0,178.0,213.0,1147.0,1104.0,506.0,513.0,949.0,1078.0,1057.0,1001.0,1025.0,885.0,923.0,850.0,1122.0,1282.0,1353.0,1338.0,1405.0,1483.0,797.0,897.0,1133.0,1172.0
1156.0,889.0,108.0,109.0,86.0,94.0,438.0,410.0,88.0,156.0,167.0,171.0,178.0,7373.0,1618.0,300.0,531.0,365.0,273.0,89.0,112.0,116.0,102.0,82.0,76.0,81.0,79.0,109.0,114.0,109.0,99.0,112.0,137.0,87.0,379.0,504.0,101.0
1261.0,989.0,108.0,121.0,82.0,100.0,483.0,466.0,115.0,168.0,189.0,202.0,213.0,1618.0,7168.0,334.0,572.0,439.0,311.0,104.0,125.0,134.0,119.0,98.0,102.0,93.0,86.0,136.0,148.0,123.0,108.0,137.0,156.0,101.0,379.0,451.0,125.0
1563.0,1571.0,1168.0,1234.0,668.0,674.0,887.0,949.0,1752.0,736.0,663.0,1163.0,1147.0,300.0,334.0,14079.0,6481.0,907.0,825.0,1417.0,1425.0,1667.0,2097.0,1939.0,1310.0,1242.0,1062.0,4785.0,4745.0,1572.0,1470.0,2688.0,2773.0,821.0,1589.0,2491.0,761.0
2235.0,2026.0,1097.0,1150.0,645.0,599.0,963.0,1044.0,1646.0,755.0,704.0,1155.0,1104.0,531.0,572.0,6481.0,15791.0,979.0,863.0,1543.0,1414.0,1609.0,2002.0,1907.0,1290.0,1332.0,1139.0,4238.0,4190.0,1558.0,1437.0,2501.0,2621.0,832.0,1592.0,2431.0,761.0
2089.0,1971.0,435.0,440.0,298.0,314.0,1397.0,1407.0,494.0,979.0,991.0,537.0,506.0,365.0,439.0,907.0,979.0,5129.0,1556.0,400.0,415.0,441.0,464.0,441.0,398.0,384.0,343.0,461.0,435.0,507.0,444.0,591.0,630.0,331.0,1011.0,1163.0,315.0
1463.0,1465.0,480.0,479.0,290.0,300.0,1211.0,1245.0,476.0,1036.0,981.0,534.0,513.0,273.0,311.0,825.0,863.0,1556.0,3897.0,430.0,406.0,413.0,455.0,458.0,395.0,377.0,352.0,456.0,421.0,502.0,441.0,576.0,604.0,319.0,819.0,995.0,331.0
1050.0,1037.0,1294.0,1330.0,417.0,404.0,427.0,571.0,1246.0,541.0,518.0,993.0,949.0,89.0,104.0,1417.0,1543.0,400.0,430.0,19087.0,4641.0,1329.0,1464.0,2260.0,1448.0,2533.0,2163.0,1854.0,1946.0,1672.0,1627.0,1788.0,1874.0,1620.0,821.0,1351.0,742.0
1110.0,1045.0,1492.0,1490.0,430.0,413.0,442.0,589.0,1338.0,536.0,505.0,1209.0,1078.0,112.0,125.0,1425.0,1414.0,415.0,406.0,4641.0,25444.0,1422.0,1585.0,2930.0,1764.0,2293.0,1853.0,1930.0,1991.0,2171.0,2070.0,2233.0,2414.0,1724.0,815.0,1331.0,877.0
1075.0,1085.0,1819.0,1782.0,850.0,802.0,420.0,540.0,1653.0,511.0,475.0,1141.0,1057.0,116.0,134.0,1667.0,1609.0,441.0,413.0,1329.0,1422.0,15159.0,4382.0,1842.0,1409.0,1383.0,1116.0,2396.0,2545.0,1642.0,1730.0,2364.0,2519.0,904.0,1482.0,2456.0,973.0
1063.0,1101.0,1732.0,1847.0,943.0,886.0,501.0,618.0,1928.0,566.0,532.0,1079.0,1001.0,102.0,119.0,2097.0,2002.0,464.0,455.0,1464.0,1585.0,4382.0,13000.0,2177.0,1509.0,1377.0,1280.0,2962.0,3327.0,1643.0,1515.0,2870.0,3016.0,1003.0,1732.0,3046.0,1015.0
1143.0,1143.0,1422.0,1493.0,452.0,435.0,484.0,636.0,1671.0,616.0,579.0,1266.0,1025.0,82.0,98.0,1939.0,1907.0,441.0,458.0,2260.0,2930.0,1842.0,2177.0,23260.0,5891.0,1863.0,1504.0,2586.0,2414.0,2305.0,2134.0,2892.0,3032.0,1114.0,1095.0,2057.0,688.0
1011.0,983.0,1179.0,1165.0,429.0,409.0,431.0,547.0,1285.0,532.0,501.0,992.0,885.0,76.0,102.0,1310.0,1290.0,398.0,395.0,1448.0,1764.0,1409.0,1509.0,5891.0,10154.0,1429.0,1124.0,1686.0,1588.0,1661.0,1596.0,1743.0,1886.0,883.0,885.0,1417.0,659.0
927.0,884.0,1220.0,1236.0,401.0,395.0,406.0,505.0,1164.0,506.0,456.0,995.0,923.0,81.0,93.0,1242.0,1332.0,384.0,377.0,2533.0,2293.0,1383.0,1377.0,1863.0,1429.0,10916.0,3748.0,1736.0,1767.0,1638.0,1587.0,1561.0,1709.0,1864.0,774.0,1155.0,784.0
805.0,806.0,1160.0,1267.0,383.0,342.0,383.0,478.0,1004.0,455.0,424.0,909.0,850.0,79.0,86.0,1062.0,1139.0,343.0,352.0,2163.0,1853.0,1116.0,1280.0,1504.0,1124.0,3748.0,9640.0,1493.0,1664.0,1371.0,1308.0,1294.0,1376.0,1659.0,659.0,985.0,794.0
1067.0,1124.0,1729.0,1831.0,617.0,565.0,490.0,620.0,2201.0,572.0,543.0,1179.0,1122.0,109.0,136.0,4785.0,4238.0,461.0,456.0,1854.0,1930.0,2396.0,2962.0,2586.0,1686.0,1736.0,1493.0,13926.0,8448.0,2009.0,2003.0,3292.0,3413.0,1088.0,1289.0,2509.0,995.0
1018.0,1077.0,2134.0,2465.0,708.0,679.0,466.0,588.0,2028.0,543.0,478.0,1289.0,1282.0,114.0,148.0,4745.0,4190.0,435.0,421.0,1946.0,1991.0,2545.0,3327.0,2414.0,1588.0,1767.0,1664.0,8448.0,19270.0,2020.0,1931.0,3252.0,3422.0,1268.0,1299.0,2475.0,1342.0
1307.0,1288.0,3057.0,3085.0,500.0,467.0,541.0,667.0,1538.0,617.0,571.0,1404.0,1353.0,109.0,123.0,1572.0,1558.0,507.0,502.0,1672.0,2171.0,1642.0,1643.0,2305.0,1661.0,1638.0,1371.0,2009.0,2020.0,17046.0,7239.0,2282.0,2454.0,1090.0,937.0,1461.0,1247.0
1262.0,1241.0,3120.0,2993.0,479.0,477.0,453.0,606.0,1413.0,553.0,538.0,1371.0,1338.0,99.0,108.0,1470.0,1437.0,444.0,441.0,1627.0,2070.0,1730.0,1515.0,2134.0,1596.0,1587.0,1308.0,2003.0,1931.0,7239.0,19466.0,2157.0,2349.0,1027.0,861.0,1403.0,1245.0
1309.0,1351.0,1611.0,1668.0,655.0,644.0,558.0,733.0,2388.0,668.0,612.0,1440.0,1405.0,112.0,137.0,2688.0,2501.0,591.0,576.0,1788.0,2233.0,2364.0,2870.0,2892.0,1743.0,1561.0,1294.0,3292.0,3252.0,2282.0,2157.0,12807.0,9273.0,1093.0,1501.0,2880.0,892.0
1448.0,1453.0,1695.0,1754.0,679.0,654.0,600.0,766.0,2530.0,706.0,642.0,1485.0,1483.0,137.0,156.0,2773.0,2621.0,630.0,604.0,1874.0,2414.0,2519.0,3016.0,3032.0,1886.0,1709.0,1376.0,3413.0,3422.0,2454.0,2349.0,9273.0,14230.0,1177.0,1544.0,2985.0,970.0
680.0,727.0,973.0,1085.0,415.0,367.0,336.0,410.0,783.0,380.0,348.0,848.0,797.0,87.0,101.0,821.0,832.0,331.0,319.0,1620.0,1724.0,904.0,1003.0,1114.0,883.0,1864.0,1659.0,1088.0,1268.0,1090.0,1027.0,1093.0,1177.0,8504.0,528.0,753.0,771.0
1730.0,1576.0,847.0,863.0,809.0,748.0,884.0,926.0,1129.0,703.0,652.0,964.0,897.0,379.0,379.0,1589.0,1592.0,1011.0,819.0,821.0,815.0,1482.0,1732.0,1095.0,885.0,774.0,659.0,1289.0,1299.0,937.0,861.0,1501.0,1544.0,528.0,8701.0,3659.0,547.0
2179.0,2109.0,1291.0,1366.0,832.0,770.0,1010.0,1098.0,1941.0,860.0,794.0,1205.0,1133.0,504.0,451.0,2491.0,2431.0,1163.0,995.0,1351.0,1331.0,2456.0,3046.0,2057.0,1417.0,1155.0,985.0,2509.0,2475.0,1461.0,1403.0,2880.0,2985.0,753.0,3659.0,13929.0,726.0
681.0,747.0,1540.0,1816.0,476.0,434.0,343.0,428.0,731.0,345.0,328.0,1084.0,1172.0,101.0,125.0,761.0,761.0,315.0,331.0,742.0,877.0,973.0,1015.0,688.0,659.0,784.0,794.0,995.0,1342.0,1247.0,1245.0,892.0,970.0,771.0,547.0,726.0,14709.0
